season,team,conference,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent
2025,Navy,American Athletic,265,250,17,26,25,35,8,8,8,8,13,1,0,36,7,6,7,0,0,466,531,22,28,1690,2990,182,372,106,239,7,6,12,21,74,57,628,448,25439,21361,0,0,63,106,7,12,642,451,41,20,3719,1839,27,9,58,39,85,66,164,168,5409,4829,14,15
2025,Nebraska,Big Ten,264,232,10,16,28,24,4,7,7,4,13,0,1,21,78,7,6,1,0,780,443,31,27,2920,2003,378,314,260,183,6,7,23,9,60,62,565,542,23855,22945,1,0,341,23,25,6,445,468,20,30,1922,2300,22,33,65,62,74,66,162,168,4842,4303,11,13
2025,Nevada,Mountain West,207,239,13,14,24,23,10,4,5,10,12,2,2,191,96,17,11,1,1,396,282,16,9,1766,2642,308,356,182,231,11,17,10,12,63,84,542,709,21837,21369,0,1,119,120,17,12,415,424,9,24,1863,1804,19,18,63,67,50,61,156,160,3629,4446,27,15
2025,New Mexico,Mountain West,252,248,21,17,32,33,13,8,8,13,13,0,1,99,44,10,9,2,0,608,339,24,18,2662,2986,350,412,227,282,9,10,17,19,75,95,630,829,23448,23352,1,0,55,59,13,15,464,430,22,14,1981,1476,36,34,77,64,65,72,165,179,4643,4462,23,17
2025,New Mexico State,Conference USA,244,259,7,8,17,17,8,8,8,8,12,1,1,164,218,16,15,0,1,282,375,15,20,3004,2843,472,408,276,260,15,16,17,25,74,98,653,919,21670,21498,0,0,92,95,17,20,356,448,9,14,929,1982,18,34,60,77,78,74,187,180,3933,4825,24,23
2025,North Carolina,ACC,199,250,11,24,15,32,9,6,6,8,12,0,1,70,45,6,6,0,0,402,249,22,12,2207,2535,355,384,227,245,6,6,13,15,79,62,751,610,20454,22744,0,0,137,152,17,18,346,432,11,19,1262,1504,31,22,61,64,58,72,157,170,3469,4039,15,12
2025,North Texas,American Athletic,357,283,25,23,36,37,10,13,13,10,14,0,1,232,142,9,15,0,0,541,804,25,45,4442,2327,477,387,325,218,15,9,35,16,78,90,637,782,23840,26560,0,1,98,80,18,6,513,606,49,28,2718,3022,24,18,74,54,79,86,172,203,7160,5349,19,28
2025,Northern Illinois,Mid-American,180,239,22,14,37,24,5,4,4,5,12,0,0,24,43,6,9,1,2,549,482,25,20,1186,2087,244,317,129,188,9,6,8,11,52,69,456,557,21041,22159,0,0,91,146,10,19,497,476,16,21,2227,2205,14,19,40,61,55,70,173,163,3413,4292,11,13
2025,Northwestern,Big Ten,256,225,17,8,29,18,8,11,11,8,13,0,0,100,125,13,9,0,1,227,746,11,33,2417,2516,378,347,224,223,9,13,17,13,55,60,440,578,25201,21599,0,0,27,60,15,12,449,412,16,18,2092,1772,23,16,52,52,75,64,175,153,4509,4288,21,20
2025,Notre Dame,FBS Independents,270,222,17,14,31,32,4,2,2,4,12,3,1,270,92,6,21,2,0,531,324,21,15,3061,2561,322,413,217,230,21,6,25,14,66,79,637,689,21094,22106,2,0,212,11,19,2,418,400,38,8,2453,1196,34,12,69,53,65,63,135,178,5514,3757,10,23
2025,Ohio,Mid-American,281,240,17,17,29,29,8,5,5,8,13,1,0,176,80,11,12,1,0,398,671,18,30,2394,2705,312,360,192,231,12,11,14,19,80,57,628,499,25057,21558,0,1,160,117,12,14,552,427,32,15,2966,1875,22,26,64,48,70,54,165,162,5360,4580,19,17
